size,std:sort_time,min_max_quicksort_time,min_max_quicksort_speedup,__gnu_parallel_time,__gnu_parallel_speedup
100000,0.00999999,0.00699997,1.42858,0.00399995,2.50003
200000,0.033,0.00699997,4.71431,0.00199986,16.5012
300000,0.0510001,0.00899982,5.66679,0.0110002,4.63631
400000,0.076,0.0110002,6.90897,0.0149999,5.06671
500000,0.0829999,0.016,5.18749,0.016,5.18749
600000,0.108,0.016,6.74999,0.027,4.00001
700000,0.141,0.0110002,12.818,0.0439999,3.20455
800000,0.144,0.0319998,4.50003,0.036,4
900000,0.169,0.0319998,5.28128,0.0420001,4.02381
1000000,0.196,0.0339999,5.76472,0.0280001,6.99997
2000000,0.383,0.063,6.07937,0.079,4.8481
3000000,0.603,0.11,5.48181,0.108,5.58333
4000000,0.809,0.11,7.35455,0.0769999,10.5065
5000000,1.047,0.126,8.30951,0.0949998,11.0211
6000000,1.266,0.142,8.9155,0.125,10.128
7000000,1.483,0.169,8.77515,0.142,10.4437
8000000,1.71,0.204,8.38235,0.181,9.44751
9000000,1.932,0.219,8.82191,0.189,10.2222
10000000,2.171,0.251,8.6494,0.229,9.48035
20000000,4.495,0.588,7.64456,0.44,10.2159
30000000,6.935,0.794,8.73426,0.687,10.0946
40000000,9.434,1.088,8.67096,0.934,10.1006
50000000,11.87,1.337,8.87809,1.164,10.1976
60000000,14.418,1.636,8.81296,1.438,10.0264
70000000,17.125,1.978,8.65773,1.81,9.46133
80000000,19.745,2.262,8.729,2.098,9.41134
90000000,22.436,2.811,7.9815,2.488,9.01768
100000000,25.271,2.979,8.48305,2.728,9.26356
200000000,53.151,7.801,6.81336,34.506,1.54034
300000000,87.697,21.604,4.05929,14.18,6.18456
400000000,128.768,31.171,4.13102,39.718,3.24206
